feature,importance
Threatened species (number)_10.0,0.000305657221931969
Energy supply per capita (Gigajoules)_95.0/77.9,0.00030538330468463695
"Population age distribution (0-14 / 60+ years, %)_15.0/24.1",0.0003038680279540804
"Population age distribution (0-14 / 60+ years, %)_44.9/4.7",0.0003033996460683044
"Pop using improved drinking water (urban/rural, %)_28.0/5.9",0.0003030128847427028
Education: Primary gross enrol ratio (f/m per 100 pop)_98.6/101.3,0.0003028883759251961
International trade: Exports (million US$)_19731,0.00030209174454865037
Education: Secondary gross enrol ratio (f/m per 100 pop)_111.1/114.7,0.0003015625570625893
Infant mortality rate (per 1000 live births_77.7,0.00029895178247268446
"Population age distribution (0-14 / 60+ years, %)_43.2/4.1",0.00029861729453047053
Energy supply per capita (Gigajoules)_99.8/98.9,0.00029789898767827017
Threatened species (number)_40.9,0.0002977707663762622
International migrant stock (000/% of total pop)_576.9/13.6,0.00029716811702655956
Agricultural production index (2004-2006=100)_136,0.0002970965567634306
Agricultural production index (2004-2006=100)_176,0.0002970952941707757
Agricultural production index (2004-2006=100)_65,0.000297008309087835
Education: Secondary gross enrol ratio (f/m per 100 pop)_90.3/90.4,0.00029670010053236477
Education: Tertiary gross enrol ratio (f/m per 100 pop)_47.3/42.5,0.0002965145881275265
International migrant stock (000/% of total pop)_1072.9/1.1,0.0002963204624342523
Refugees and others of concern to UNHCR (in thousands)_472.5,0.0002963114174653895
Refugees and others of concern to UNHCR (in thousands)_3006.3,0.00029522633346028857
Education: Tertiary gross enrol ratio (f/m per 100 pop)_26.7/27.0,0.0002938803380757145
Refugees and others of concern to UNHCR (in thousands)_1.9,0.00029377902607676887
Threatened species (number)_59.2,0.0002935957969107851
Energy supply per capita (Gigajoules)_98.9/91.2,0.00029354029642171607
International migrant stock (000/% of total pop)_192.5/9.7,0.0002935036925759932
Refugees and others of concern to UNHCR (in thousands)_8.1,0.00029337308418388055
Education: Primary gross enrol ratio (f/m per 100 pop)_86.9/77.6,0.0002933627280207645
Refugees and others of concern to UNHCR (in thousands)_1.7,0.0002933070122538558
Infant mortality rate (per 1000 live births_24.8,0.00029317706288594194
Energy supply per capita (Gigajoules)_96.7/75.6,0.00029286334172413963
Education: Primary gross enrol ratio (f/m per 100 pop)_100.0/101.8,0.00029255353675984434
Education: Primary gross enrol ratio (f/m per 100 pop)_98.3/101.0,0.0002924002290596953
Education: Primary gross enrol ratio (f/m per 100 pop)_53.1/74.9,0.00029212328403754336
Threatened species (number)_46.9,0.00029169434468945233
Refugees and others of concern to UNHCR (in thousands)_15.5,0.0002913602388523028
Education: Secondary gross enrol ratio (f/m per 100 pop)_83.1/92.5,0.0002913234446417827
International trade: Exports (million US$)_12838,0.00029041817887986933
"Pop using improved drinking water (urban/rural, %)_96.1/95.9",0.0002903496021192315
"Population age distribution (0-14 / 60+ years, %)_16.7/21.3",0.0002896478984206714
International migrant stock (000/% of total pop)_399.5/1.5,0.0002893154991751135
"Population age distribution (0-14 / 60+ years, %)_40.8/5.5",0.000288939720974419
Energy supply per capita (Gigajoules)_96.7/86.2,0.0002887148672717828
"Population age distribution (0-14 / 60+ years, %)_27.6/9.9",0.0002881941648042814
Education: Secondary gross enrol ratio (f/m per 100 pop)_102.7/98.2,0.0002875761349736988
Energy supply per capita (Gigajoules)_99.0/100.0,0.000287463873603409
Education: Tertiary gross enrol ratio (f/m per 100 pop)_11.4/15.4,0.000287383371761156
